No,Rule ID,Page Type,Check Type,Rule Description,Violation Example,Fix Suggestion,Severity
1,L01,Landing,nav-has-cta,"Navigation must include a CTA button (Sign Up/Get Started) that visually stands out from regular nav links","Nav has only text links, no prominent CTA button","Add a CTA button with contrasting color (e.g., bg-blue-600 text-white) to the right side of the navbar",CRITICAL
2,L02,Landing,has-hero,"Landing page must have a Hero section with headline, subheadline, and at least one CTA button","Page starts directly with features or content without a hero section","Add a Hero section (min-h-[60vh]) with H1 headline, supporting subheadline, and primary CTA button",CRITICAL
3,L03,Landing,has-footer,"Landing page must have a Footer with organized links, legal info, and copyright","Page ends without a footer section","Add a Footer with columns: Product, Company, Resources, Legal. Include copyright, privacy/terms links, and social icons",HIGH
4,L04,Landing,has-cta-sections,"Landing page must have at least 2 CTA placements (hero + bottom/mid-page)","Only one CTA button exists on the entire page (in hero only)","Add a secondary CTA section after testimonials or features. Repeat the primary CTA with slightly different messaging",HIGH
5,L05,Landing,has-value-prop,"Landing page must clearly communicate the value proposition within the hero or immediately after","No clear value proposition statement visible above the fold","Add a concise value proposition: what the product does, for whom, and the key benefit. Place in or right after hero",CRITICAL
6,L06,Landing,has-features,"Landing page must have a Features section showcasing 3-6 key product features","No features section or features not clearly presented","Add a Features section with 3-6 feature cards, each with icon, title, and short description",HIGH
7,L07,Landing,has-social-proof,"Landing page should have social proof (testimonials, logos, user count, or reviews)","No testimonials, partner logos, user statistics, or reviews anywhere on the page","Add at least one social proof element: customer testimonials, company logos, user count badge, or ratings",MEDIUM
8,L08,Landing,has-faq,"Landing page should have a FAQ section addressing common questions","No FAQ section on the landing page","Add an FAQ section with 5-8 common questions using an accordion/collapsible pattern",MEDIUM
9,A01,Sign Up,link-to-signin,"Sign Up page must include a link to Sign In for existing users","Sign Up page has no mention of Sign In or link for existing users","Add text below form: 'Already have an account? Sign in' with link to /signin",CRITICAL
10,A02,Sign Up,has-oauth,"Sign Up page should offer OAuth/social login options (Google, GitHub, etc.)","Only email/password registration available, no social login buttons","Add OAuth buttons above the form with visual separator. Minimum: Google. Optional: GitHub, Apple",MEDIUM
11,A03,Sign Up,has-terms,"Sign Up page must include Terms of Service and Privacy Policy acceptance","No terms/privacy checkbox or text near the submit button","Add checkbox or implicit consent text: 'By signing up, you agree to our Terms and Privacy Policy' with links",HIGH
12,A04,Sign In,link-to-signup,"Sign In page must include a link to Sign Up for new users","Sign In page has no mention of Sign Up or link for new users","Add text below form: 'Don't have an account? Sign up for free' with link to /signup",CRITICAL
13,A05,Sign In,has-forgot-password,"Sign In page must include a Forgot Password link near the password field","No forgot password link or recovery option on the Sign In page","Add 'Forgot password?' link near/below the password field, linking to /forgot-password",HIGH
14,A06,Sign In,has-oauth,"Sign In page should offer same OAuth options as Sign Up page","Sign In has email/password only while Sign Up has Google/GitHub login","Add same OAuth buttons as Sign Up page for consistency",MEDIUM
15,D01,Dashboard,has-navigation,"Dashboard must have either sidebar navigation or top navigation bar with app sections","Dashboard page has no persistent navigation, only content","Add sidebar (w-64, full height) OR top navigation bar with links to all app sections",CRITICAL
