No,Page Type,Keywords,Required Sections,Recommended Sections,Nav Requirements,Footer Requirements,SEO Requirements,Internal Links,Common Violations,Severity
1,Landing Page,"landing, homepage, marketing, hero, conversion","Hero (headline + subheadline + CTA), Value Proposition, Features (3-5 items), CTA section, Footer","Testimonials, FAQ, Pricing preview, How It Works, Social proof, Stats/Numbers, Partner logos","Logo + Home link, Primary nav links (Features/Pricing/About), CTA button (Sign Up/Get Started), Mobile hamburger menu","Links (Product/Company/Legal/Social), Copyright notice, Legal links (Privacy/Terms), Newsletter signup optional","Title: Product - Tagline | Meta desc: 150-160 chars | Schema: Organization/Product | index follow | OG image 1200x630","Nav → Pricing page, Nav → Sign Up, Footer → About/Contact/Blog, CTA → Sign Up","Missing CTA above fold, No FAQ section, No social proof, Footer missing legal links, No mobile nav",CRITICAL
2,Sign Up,"signup, register, create account, onboarding","Registration form (name/email/password), OAuth buttons (Google/GitHub), Link to Sign In, Submit button","Terms & conditions checkbox, Password strength indicator, Social proof sidebar, Progress indicator for multi-step","Minimal nav: Logo + Back to home, No main navigation (reduce distraction)","Minimal or none - keep focus on conversion","Title: Sign Up - Product | noindex recommended | No schema needed | Canonical to signup URL","Link to Sign In page, Link to Terms/Privacy, Back to Landing page","No link to Sign In, Missing OAuth options, No password validation feedback, No terms checkbox",HIGH
3,Sign In,"signin, login, authenticate, access","Login form (email/password), OAuth buttons, Forgot password link, Link to Sign Up, Submit button","Remember me checkbox, 2FA input, Show/hide password toggle, Error message area","Minimal nav: Logo + Back to home","Minimal or none","Title: Sign In - Product | noindex recommended | No schema needed","Link to Sign Up page, Link to Forgot Password, Redirect to Dashboard after login","No Forgot Password link, No link to Sign Up, No error feedback on wrong credentials, Missing OAuth",HIGH
4,Dashboard User,"dashboard, user panel, main app, overview","Top nav or Sidebar navigation, Stats overview cards, Recent activity feed, User menu (avatar + dropdown)","Quick action buttons, Notifications bell, Search bar, Onboarding checklist for new users, Charts/graphs","Sidebar: Logo + nav links + user menu, OR Top nav: Logo + search + notifications + avatar dropdown, Active state indicator","Not needed (app interface)","noindex nofollow | No public SEO needed | Title: Dashboard - Product","Nav → Settings, Nav → Profile, User menu → Logout, Links to all app sections","No user menu/logout, Missing empty states, No loading skeletons, Inconsistent navigation",CRITICAL
5,Dashboard Admin,"admin, admin panel, management, back office","Sidebar navigation, Stats overview cards, Data tables with pagination, User management section","Charts/analytics, Activity log, System health, Quick filters, Bulk actions, Export data","Sidebar: Logo + categorized nav (Overview/Users/Content/Settings/Analytics), Collapsible on mobile, Active state + hover","Not needed (admin interface)","noindex nofollow | No public SEO needed | Title: Admin - Product","Nav → all admin sections, Breadcrumbs for nested pages, Quick links from stats cards","No role-based access indicators, Missing data table pagination, No search/filter, No breadcrumbs",CRITICAL
6,Settings/Profile,"settings, profile, account, preferences","Profile info form (name/email/avatar), Avatar upload, Password change section, Save/Cancel buttons","Notification preferences, Theme toggle (light/dark), Language selector, Danger zone (delete account), Connected accounts","Same as parent app nav (Dashboard nav), Settings sub-nav (Profile/Security/Notifications/Billing)","Not needed (app interface)","noindex nofollow | Title: Settings - Product","Back to Dashboard, Sub-nav between settings sections, Link to Billing/Plan","No save confirmation, Missing avatar upload, No danger zone confirmation dialog, Settings not grouped logically",MEDIUM
7,Pricing,"pricing, plans, subscription, tiers, cost","Hero headline (value prop), Plan comparison cards (2-4 tiers), Feature comparison table, FAQ section, Final CTA","Monthly/Annual toggle with discount badge, Enterprise/Custom plan CTA, Money-back guarantee badge, Testimonial from customer","Main site nav (same as landing), Highlighted current plan for logged-in users","Same as landing page footer","Title: Pricing - Product | index follow | Schema: Product with offers | OG with pricing info","Nav → Sign Up per plan, FAQ answers → relevant feature pages, CTA → checkout/signup, Back to Landing","No FAQ section, Missing feature comparison, No annual discount toggle, Popular plan not highlighted, No money-back guarantee",HIGH
8,Blog List,"blog, articles, posts, news, resources","Post grid or list with thumbnails, Categories/tags filter, Search functionality, Pagination","Featured/pinned post at top, Sidebar with popular posts, Newsletter signup, Author filter, Reading time badges","Main site nav + Blog sub-nav (All/Categories), Search bar in nav or hero","Same as landing + blog-specific links, RSS feed link","Title: Blog - Product | index follow | Schema: CollectionPage | Pagination with rel next/prev","Each post → Blog Post page, Categories → filtered list, Author → author page, Sidebar → popular posts","No pagination, Missing categories, No search, Posts without thumbnails or dates, No featured post",MEDIUM
9,Blog Post,"article, post, content, read, publication","Title (H1), Author name + avatar + date, Article content with proper headings, Share buttons (social)","Table of contents, Related posts, Comments section, Author bio box, Newsletter CTA, Breadcrumbs, Reading progress bar","Main site nav + Breadcrumbs (Blog > Category > Post title)","Same as landing footer + Related posts section","Title: Post Title | Blog Name | index follow | Schema: Article with author/date/image | OG article tags","Breadcrumbs → Blog List, Author → author page, Related posts → other articles, Share → social platforms, CTA → newsletter","No author/date info, Missing share buttons, No related posts, Poor heading hierarchy (skipping H2 to H4), No OG tags",MEDIUM
10,Product Detail PDP,"product, item, shop, ecommerce, detail","Image gallery (multiple angles), Product title + price, Add to Cart button, Product description","Customer reviews section, Related products, Breadcrumbs, Size/variant selector, Wishlist button, Stock availability, Shipping info","Main site nav + Breadcrumbs (Shop > Category > Product), Cart icon with count in nav","Same as landing + shop links (Shipping/Returns/Support)","Title: Product Name - Category | Store | index follow | Schema: Product with price/availability/reviews | OG product tags","Breadcrumbs → Category, Related products → other PDPs, Add to Cart → Cart/Checkout, Reviews → review section anchor","No breadcrumbs, Missing product schema, No reviews section, Single product image, No stock/availability info",HIGH
