No,Page Type,Keywords,Title Format,Meta Description,Schema Type,Indexing,Canonical,Open Graph,Heading Structure,Internal Link Strategy,Severity
1,Landing Page,"landing, homepage, marketing","Product Name - Tagline or Value Prop","150-160 chars describing product value. Include primary keyword. End with CTA phrase.","Organization + Product. Optional: FAQPage if FAQ section exists. SoftwareApplication for SaaS.","index follow","Self-referencing canonical to homepage URL","og:type=website, og:image=1200x630 hero image, og:title=same as title, og:description=same as meta","H1: Main headline (1 only). H2: Section titles (Features, Pricing, FAQ). H3: Feature names, FAQ questions.","Link to all main pages from nav (Pricing, Features, About, Blog). Footer links to legal pages. CTA links to Sign Up.",CRITICAL
2,Sign Up,"signup, register, create account","Sign Up - Product Name OR Create Account - Product Name","Join Product Name today. Create your free account in seconds. Brief value prop.","No schema needed. Optional: Organization on all pages.","noindex follow (prevent duplicate with landing CTA) OR index follow if SEO-targeted","Canonical to /signup","og:type=website, og:title=Sign Up, og:image=product screenshot or logo","H1: Create your account OR Sign up for Product. No other major headings needed.","Link to Sign In, Terms, Privacy Policy. After signup redirect to dashboard/onboarding.",MEDIUM
3,Sign In,"signin, login, authenticate","Sign In - Product Name OR Log In - Product Name","Sign in to your Product Name account. Access your dashboard and manage your projects.","No schema needed.","noindex follow (prevent indexing login pages) OR index follow","Canonical to /signin","og:type=website, minimal OG needed","H1: Sign in to your account OR Welcome back. Minimal heading structure.","Link to Sign Up, Forgot Password. After login redirect to dashboard.",MEDIUM
4,Dashboard User,"dashboard, user panel, app","Dashboard - Product Name","Not needed (noindex page). If indexed: Manage your projects and view analytics on Product Name.","No schema needed (private page).","noindex nofollow","No canonical needed (private)","No OG needed (private page)","H1: Dashboard or Welcome back [Name]. H2: Section titles (Recent Activity, Stats, Quick Actions).","Nav links to all app sections (Settings, Profile, specific features). User menu → logout.",LOW
5,Dashboard Admin,"admin, admin panel, management","Admin Dashboard - Product Name","Not needed (noindex page).","No schema needed (private page).","noindex nofollow","No canonical needed (private)","No OG needed (private page)","H1: Admin Dashboard. H2: Section titles (Users, Content, Analytics, Settings).","Sidebar nav to all admin sections. Breadcrumbs for nested admin pages.",LOW
6,Settings,"settings, profile, preferences","Settings - Product Name OR Account Settings - Product Name","Not needed (noindex page). If indexed: Manage your account settings, profile, and preferences.","No schema needed (private page).","noindex nofollow","No canonical needed (private)","No OG needed (private page)","H1: Settings or Account Settings. H2: Sections (Profile, Security, Notifications, Billing).","Sub-nav between settings sections. Back to dashboard link.",LOW
7,Pricing,"pricing, plans, cost, subscription","Pricing - Product Name OR Product Name Pricing & Plans","Compare Product Name plans and pricing. Start free or choose Pro for advanced features. Money-back guarantee.","Product with Offer for each plan. Optional: FAQPage for pricing FAQ section.","index follow","Canonical to /pricing","og:type=website, og:image=pricing comparison graphic or product screenshot","H1: Simple transparent pricing OR Choose your plan. H2: Plan names. H3: Feature categories in comparison.","Each plan CTA → Sign Up with plan pre-selected. FAQ links to relevant feature pages. Compare link to features page.",CRITICAL
8,Blog List,"blog, articles, posts, news","Blog - Product Name OR Product Name Blog - Topic","Read the latest articles about [topic] on the Product Name blog. Tips, tutorials, and industry insights.","CollectionPage or Blog. Optional: Organization.","index follow","Canonical to /blog. Pagination: rel=next/prev, canonical to page 1 for page 1.","og:type=website, og:image=featured post image or blog header","H1: Blog or Latest Articles. H2: Featured post title. H3: Individual post titles in list.","Each post card → full post. Categories → filtered list. Newsletter signup CTA. Author → author page if exists.",HIGH
9,Blog Post,"article, post, content, tutorial","Post Title | Product Name Blog OR Post Title - Product Name","150-160 chars summarizing the post. Include primary keyword naturally. Entice click from search results.","Article (required: headline, author, datePublished, dateModified, image, publisher). Optional: BreadcrumbList, FAQPage if post has FAQ.","index follow","Canonical to /blog/post-slug. If syndicated, canonical to original.","og:type=article, og:image=post featured image (1200x630), article:published_time, article:author, article:tag","H1: Post title (exactly 1). H2: Major sections. H3: Subsections. Never skip heading levels.","Related posts at bottom → other articles. Breadcrumbs → Blog List → Category. Internal links within content to other posts/pages. Author → author page.",CRITICAL
10,Product Detail PDP,"product, item, ecommerce, shop","Product Name - Category | Store Name","Product description in 150-160 chars. Include key features, price range. End with availability or CTA.","Product (required: name, image, description, offers with price/currency/availability). Optional: AggregateRating, Review, BreadcrumbList.","index follow","Canonical to /products/product-slug. If variants, canonical to main product.","og:type=product, og:image=primary product image, product:price:amount, product:price:currency","H1: Product name. H2: Description, Reviews, Related Products. H3: Feature details, individual reviews.","Breadcrumbs → Category → Product. Related products → other PDPs. Add to Cart → Cart. Reviews anchor link from rating summary.",CRITICAL
