No,Category,Pattern,Keywords,Trigger,Duration,Easing,CSS Properties,Code Example,Accessibility,Severity
1,Hover Effects,Button Hover,button hover state lift shadow,"mouseenter, mouseleave",200ms,cubic-bezier(0.4 0 0.2 1),"transform, box-shadow","hover:scale-105 hover:shadow-lg transition-all duration-200",Disable scale on prefers-reduced-motion; keep color change only,High
2,Hover Effects,Card Hover,card hover lift elevation,"mouseenter, mouseleave",250ms,ease-out,"transform, box-shadow","hover:-translate-y-1 hover:shadow-xl transition-all duration-250",Reduce to subtle shadow change for reduced-motion users,Medium
3,Hover Effects,Link Hover Underline,link underline expand animate,"mouseenter, mouseleave",200ms,ease-out,"background-size, color","bg-gradient-to-r from-current to-current bg-[length:0%_2px] hover:bg-[length:100%_2px] bg-no-repeat bg-bottom transition-all duration-200",Replace with static underline for reduced-motion,Medium
4,Hover Effects,Icon Hover Rotate,icon spin rotate hover,"mouseenter, mouseleave",300ms,cubic-bezier(0.34 1.56 0.64 1),transform,hover:rotate-12 transition-transform duration-300,Skip rotation; use color change only,Low
5,Hover Effects,Image Hover Zoom,image zoom scale crop hover,"mouseenter, mouseleave",400ms,cubic-bezier(0.4 0 0.2 1),transform,"overflow-hidden [&>img]:hover:scale-110 [&>img]:transition-transform [&>img]:duration-400",Disable zoom for reduced-motion; keep static image,Medium
6,Hover Effects,Glow Effect,glow neon border hover shine,"mouseenter, mouseleave",300ms,ease-in-out,box-shadow,"hover:shadow-[0_0_15px_rgba(59,130,246,0.5)] transition-shadow duration-300",Remove glow for reduced-motion; use border color change,Low
7,Hover Effects,Background Fill,button fill background slide hover,"mouseenter, mouseleave",300ms,ease-out,"background-position, color","bg-[length:200%_100%] bg-right hover:bg-left transition-all duration-300",Use instant background-color swap for reduced-motion,Medium
8,Hover Effects,Scale Bounce,hover bounce spring scale,"mouseenter, mouseleave",200ms,cubic-bezier(0.34 1.56 0.64 1),transform,hover:scale-110 transition-transform duration-200,Disable scale; use opacity change instead,Low
9,Click/Tap Feedback,Button Press,button click press active shrink,active/pointerdown,100ms,ease-in,transform,active:scale-95 transition-transform duration-100,Keep subtle scale or use opacity:0.8 fallback,High
10,Click/Tap Feedback,Ripple Effect,ripple material click spread,click,500ms,ease-out,"transform, opacity","Pseudo-element from scale-0 to scale-100 with opacity 1 to 0; use @keyframes ripple { to { transform: scale(4); opacity: 0 } }",Disable ripple; use background-color flash instead,Medium
11,Click/Tap Feedback,Checkbox Toggle,checkbox check tick animate,change,200ms,cubic-bezier(0.4 0 0.2 1),"transform, opacity","Animate checkmark SVG stroke-dashoffset from 100% to 0; transition duration-200",Instant state change without stroke animation,Medium
12,Click/Tap Feedback,Switch Toggle,toggle switch slide on-off,change,200ms,cubic-bezier(0.4 0 0.2 1),"transform, background-color","translate-x-0 to translate-x-5 with bg-gray-300 to bg-blue-500 transition-all duration-200",Instant position swap without slide; keep color change,High
13,Click/Tap Feedback,Radio Select,radio button select fill scale,change,150ms,ease-out,transform,"Inner dot scale-0 to scale-100 transition-transform duration-150",Instant appearance without scale animation,Medium
14,Click/Tap Feedback,Form Submit,submit button loading spinner,submit,300ms,ease-out,"width, opacity","Button text fades out width shrinks to circle then spinner appears; transition-all duration-300",Keep text change only; skip shape morph,High
15,Loading States,Skeleton Screen,skeleton placeholder loading shimmer,data fetching,1500ms,ease-in-out,background-position,"animate-pulse bg-gray-200 rounded-md h-4 w-full",Use static gray block without pulse,High
16,Loading States,Shimmer Effect,shimmer loading gradient sweep,data fetching,1500ms,linear,background-position,"@keyframes shimmer { to { background-position: -200% 0 } } bg-gradient-to-r from-gray-200 via-gray-100 to-gray-200 bg-[length:200%_100%]",Use static background without shimmer sweep,Medium
17,Loading States,Spinner,spinner rotate loading circle,async operation,1000ms,linear,transform,"animate-spin h-5 w-5 border-2 border-current border-t-transparent rounded-full",Keep spinner; it conveys essential loading state,High
18,Loading States,Progress Bar,progress bar fill horizontal,upload/download,300ms,ease-out,width,"w-0 to w-full transition-[width] duration-300 bg-blue-500 h-1 rounded-full",Keep progress bar; essential for status feedback,High
19,Loading States,Pulse Dots,pulse dots bouncing loading,async operation,1400ms,ease-in-out,"transform, opacity","Three dots with @keyframes pulse { 0%,80%,100% { transform: scale(0) } 40% { transform: scale(1) } } staggered 160ms",Use static dots or text Loading...,Medium
20,Loading States,Content Placeholder,placeholder fade content swap,data loaded,300ms,ease-out,opacity,"Skeleton opacity-100 to opacity-0 then content opacity-0 to opacity-100 transition-opacity duration-300",Instant content swap without fade,Medium
