No,Category,Pattern,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Empty State,Empty List/Table,"empty list, no data, empty table, no items, no results","When a list or table has no data to display. Show helpful message with action to create first item.","Show illustration/icon + message + CTA button. Message format: 'No [items] yet' + 'Create your first [item] to get started'. Center vertically in the content area. Match app's visual style.","Don't show a blank white space. Don't show 'No data' without context. Don't show table headers with empty body. Don't forget the CTA to create first item.","<div class=""flex flex-col items-center justify-center py-20 text-center""><svg class=""w-16 h-16 text-gray-300 mb-4"">inbox icon</svg><h3 class=""text-lg font-semibold text-gray-900 mb-2"">No projects yet</h3><p class=""text-gray-500 mb-6 max-w-sm"">Create your first project to start organizing your work</p><button class=""bg-blue-600 text-white px-6 py-2.5 rounded-lg"">Create Project</button></div>","<table><thead><tr><th>Name</th><th>Date</th></tr></thead><tbody></tbody></table> <!-- Empty table with headers, no message -->",CRITICAL
2,Loading,Skeleton Screen,"skeleton, placeholder, loading skeleton, content placeholder","Placeholder UI that mimics the layout of content while it loads. Better than spinners for perceived performance.","Match the exact layout of the final content. Use gray animated pulse bars for text lines. Use gray rectangles for images. Animate with pulse or shimmer effect. Show for 200-3000ms.","Don't show skeleton for more than 3 seconds (switch to error state). Don't make skeleton layout different from actual content. Don't use skeleton for small inline loaders (use spinner).","<div class=""animate-pulse space-y-4""><div class=""h-4 bg-gray-200 rounded w-3/4""></div><div class=""h-4 bg-gray-200 rounded w-1/2""></div><div class=""aspect-video bg-gray-200 rounded-xl""></div><div class=""h-4 bg-gray-200 rounded w-full""></div><div class=""h-4 bg-gray-200 rounded w-2/3""></div></div>","<div class=""text-center py-20""><p>Loading...</p></div> <!-- Text only, no visual placeholder -->",HIGH
3,Loading,Spinner/Loading Indicator,"spinner, loading, progress, circular loader, activity indicator","Spinning animation to indicate an operation is in progress. Used for button submissions, inline loading, page transitions.","Use spinner inside the triggering element (button, card) when possible. Size: 16-20px for inline, 32-48px for page-level. Use brand color or neutral gray. Add sr-only text for accessibility.","Don't use full-page overlay spinner for small operations. Don't use spinner without context (what is loading?). Don't block entire UI for partial loads.","<button disabled class=""flex items-center gap-2 bg-blue-600 text-white px-6 py-2.5 rounded-lg opacity-75""><svg class=""animate-spin w-4 h-4"" viewBox=""0 0 24 24""><circle class=""opacity-25"" cx=""12"" cy=""12"" r=""10"" stroke=""currentColor"" stroke-width=""4""></circle><path class=""opacity-75"" fill=""currentColor"" d=""M4 12a8 8 0 018-8V0C5.373 0 0 5.373 0 12h4z""></path></svg><span>Saving...</span></button>","<div class=""fixed inset-0 bg-white z-50 flex items-center justify-center""><div class=""spinner""></div></div> <!-- Full page overlay for simple save -->",MEDIUM
4,Error,Error Boundary UI,"error boundary, crash page, something went wrong, error fallback","Fallback UI shown when a component or page crashes due to runtime error.","Show friendly message: 'Something went wrong'. Include Retry button. Optionally show error details in collapsible section (for dev). Link to home page and support. Log error to monitoring service.","Don't show raw error stack trace to users. Don't leave user stuck with no way out. Don't lose user's work without offering recovery. Don't show generic browser error page.","<div class=""flex flex-col items-center justify-center min-h-[50vh] text-center px-4""><div class=""w-16 h-16 bg-red-100 rounded-full flex items-center justify-center mb-6""><svg class=""w-8 h-8 text-red-600"">alert icon</svg></div><h1 class=""text-2xl font-bold mb-2"">Something went wrong</h1><p class=""text-gray-600 mb-6 max-w-md"">We encountered an unexpected error. Please try again or contact support if the problem persists.</p><div class=""flex gap-4""><button onclick=""location.reload()"" class=""bg-blue-600 text-white px-6 py-2.5 rounded-lg"">Try Again</button><a href=""/"" class=""border px-6 py-2.5 rounded-lg"">Go Home</a></div></div>","<p>Error: Cannot read property 'map' of undefined</p> <!-- Raw error shown to user -->",CRITICAL
5,Error,404 Page,"404, not found, page missing, broken link, dead link","Custom 404 page shown when user visits a URL that doesn't exist.","Show friendly message with personality (illustration, humor). Include: Search bar, Back to Home button, Popular pages links. Match site's design style. Don't blame the user.","Don't show default browser 404 page. Don't use only text 'Page not found'. Don't redirect to homepage automatically (let user choose). Don't show a broken layout.","<div class=""min-h-screen flex items-center justify-center px-4""><div class=""text-center""><h1 class=""text-8xl font-bold text-gray-200 mb-4"">404</h1><h2 class=""text-2xl font-semibold mb-2"">Page not found</h2><p class=""text-gray-600 mb-8 max-w-md mx-auto"">The page you're looking for doesn't exist or has been moved.</p><div class=""flex flex-col sm:flex-row gap-4 justify-center""><a href=""/"" class=""bg-blue-600 text-white px-6 py-3 rounded-lg"">Go Home</a><a href=""/contact"" class=""border px-6 py-3 rounded-lg"">Contact Support</a></div></div></div>","<h1>404</h1><p>Not Found</p> <!-- Bare minimum, no navigation, no personality -->",HIGH
6,Error,500 Server Error Page,"500, server error, internal error, system down, maintenance","Custom 500 page for server errors. Reassure users the issue is temporary.","Show apologetic message. Include estimated recovery time if known. Provide status page link. Include retry button and support contact. Auto-refresh option.","Don't show technical details (stack trace, server info). Don't blame the user. Don't leave user with no actions available. Don't forget to log the actual error server-side.","<div class=""min-h-screen flex items-center justify-center px-4""><div class=""text-center""><div class=""w-20 h-20 bg-orange-100 rounded-full flex items-center justify-center mx-auto mb-6""><svg class=""w-10 h-10 text-orange-600"">server icon</svg></div><h1 class=""text-2xl font-bold mb-2"">We're having technical difficulties</h1><p class=""text-gray-600 mb-8 max-w-md mx-auto"">Our team has been notified and is working on a fix. Please try again in a few minutes.</p><button onclick=""location.reload()"" class=""bg-blue-600 text-white px-6 py-3 rounded-lg"">Retry</button></div></div>","<h1>Internal Server Error</h1><pre>Error 500: ECONNREFUSED</pre> <!-- Technical error exposed -->",HIGH
7,Empty State,No Search Results,"no results, search empty, nothing found, no matches","When a search query returns zero results. Help user find what they're looking for.","Show clear message: 'No results for [query]'. Suggest: Check spelling, Try different keywords, Browse categories. Show popular/trending items. Keep search bar visible and editable.","Don't show completely blank page. Don't lose the search query from input. Don't suggest results that don't match (misleading). Don't hide filters that might be restricting results.","<div class=""text-center py-16""><svg class=""w-12 h-12 text-gray-300 mx-auto mb-4"">search icon</svg><h3 class=""text-lg font-semibold mb-2"">No results for &ldquo;query&rdquo;</h3><p class=""text-gray-500 mb-6"">Try checking your spelling or using different keywords</p><div class=""space-y-2""><h4 class=""text-sm font-medium text-gray-700"">Popular searches:</h4><div class=""flex gap-2 justify-center""><a class=""px-3 py-1.5 bg-gray-100 rounded-full text-sm"">React</a><a class=""px-3 py-1.5 bg-gray-100 rounded-full text-sm"">Next.js</a></div></div></div>","<p>0 results found.</p> <!-- Unhelpful, no suggestions -->",MEDIUM
8,Empty State,First-Time User Onboarding,"onboarding, welcome, first use, getting started, new user","When a new user first enters the app. Guide them through initial setup or show them around.","Show welcome message with user's name. Provide a checklist of setup steps (3-5 items). Mark steps as complete. Show progress bar. Allow skipping. Highlight key features with tooltips or tour.","Don't overwhelm with too many steps (max 5). Don't block the app behind mandatory onboarding. Don't show onboarding on every login. Don't forget to track completion and hide when done.","<div class=""bg-gradient-to-r from-blue-50 to-purple-50 rounded-2xl p-8 mb-8""><h2 class=""text-xl font-bold mb-2"">Welcome, Sarah! 👋</h2><p class=""text-gray-600 mb-6"">Complete these steps to get the most out of your account</p><div class=""space-y-3""><label class=""flex items-center gap-3 p-3 bg-white rounded-lg cursor-pointer""><input type=""checkbox"" checked class=""rounded"" /><span class=""line-through text-gray-400"">Create your profile</span></label><label class=""flex items-center gap-3 p-3 bg-white rounded-lg cursor-pointer""><input type=""checkbox"" class=""rounded"" /><span>Invite team members</span></label></div></div>","<div class=""bg-yellow-100 p-4"">Welcome! Click around to explore.</div> <!-- No guidance, no steps, no structure -->",MEDIUM
9,Empty State,Permission Denied,"403, forbidden, access denied, no permission, unauthorized","When user tries to access a resource they don't have permission for.","Show clear message about access restriction. Suggest requesting access or contacting admin. Provide navigation back to accessible areas. Don't reveal what's behind the restriction.","Don't show generic 'Access Denied' without context. Don't redirect silently. Don't show the restricted content partially. Don't expose information about the resource.","<div class=""flex flex-col items-center justify-center min-h-[50vh] text-center px-4""><div class=""w-16 h-16 bg-yellow-100 rounded-full flex items-center justify-center mb-6""><svg class=""w-8 h-8 text-yellow-600"">lock icon</svg></div><h1 class=""text-2xl font-bold mb-2"">Access restricted</h1><p class=""text-gray-600 mb-6 max-w-md"">You don't have permission to view this page. Contact your administrator for access.</p><div class=""flex gap-4""><a href=""/dashboard"" class=""bg-blue-600 text-white px-6 py-2.5 rounded-lg"">Go to Dashboard</a><a href=""mailto:admin@company.com"" class=""border px-6 py-2.5 rounded-lg"">Request Access</a></div></div>","<h1>403 Forbidden</h1> <!-- No help, no navigation, technical language -->",MEDIUM
10,Loading,Progress Bar,"progress, upload, download, file progress, step progress","Linear progress indicator for operations with known completion percentage (file uploads, multi-step forms).","Show percentage or step count. Use smooth animation for progress changes. Color: brand color for bar, gray for track. Height: 4-8px. Show below the triggering element or at top of page.","Don't use progress bar for unknown-duration operations (use spinner). Don't reset progress unexpectedly. Don't show fake progress (jumping from 0 to 90% instantly).","<div class=""w-full""><div class=""flex justify-between text-sm text-gray-600 mb-1""><span>Uploading document.pdf</span><span>67%</span></div><div class=""h-2 bg-gray-200 rounded-full overflow-hidden""><div class=""h-full bg-blue-600 rounded-full transition-all duration-300"" style=""width: 67%""></div></div></div>","<div class=""bg-blue-500"" style=""width:67%;height:20px""></div> <!-- No label, too thick, no track -->",MEDIUM
